INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
173129246,12/31/2017 12:00:00 AM,18:02:00,BROOKLYN,61,0,,false,<18,M,WHITE HISPANIC,18-24,M,BLACK,996175,158706,40.602287781,-73.95705743
173120488,12/31/2017 12:00:00 AM,05:30:00,BROOKLYN,94,0,,false,,,,18-24,M,BLACK,996578,202661,40.722933973,-73.955525797
173120488,12/31/2017 12:00:00 AM,05:30:00,BROOKLYN,94,0,,false,,,,25-44,M,BLACK,996578,202661,40.722933973,-73.955525797
173112751,12/30/2017 12:00:00 AM,18:17:00,BROOKLYN,73,0,PVT HOUSE                     ,false,45-64,F,BLACK,25-44,M,BLACK,1008731,181974,40.666127689,-73.911756695
173105454,12/29/2017 12:00:00 AM,22:20:00,BRONX,41,0,,true,,,,25-44,M,BLACK,1014263,235027,40.811727871,-73.891579254
173084537,12/29/2017 12:00:00 AM,15:53:00,MANHATTAN,33,0,,false,18-24,M,BLACK HISPANIC,18-24,M,BLACK,1000634,244606,40.83805529,-73.940790714
173084538,12/29/2017 12:00:00 AM,14:56:00,BROOKLYN,94,0,,false,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1000805,200665,40.717448534,-73.940280987
173070862,12/29/2017 12:00:00 AM,00:25:00,BRONX,48,0,,false,,,,<18,M,BLACK,1013850,252029,40.858394817,-73.892996194
173070861,12/28/2017 12:00:00 AM,23:16:00,MANHATTAN,30,0,STORE UNCLASSIFIED            ,false,18-24,M,BLACK,25-44,M,ASIAN/PAC.ISL,997541,239543,40.824164003,-73.951978648
173035796,12/28/2017 12:00:00 AM,00:20:00,BRONX,49,0,,false,18-24,M,BLACK,<18,M,BLACK,1023307,247384,40.845608913,-73.858835847
173035796,12/28/2017 12:00:00 AM,00:20:00,BRONX,49,0,,true,18-24,M,BLACK,<18,M,BLACK,1023307,247384,40.845608913,-73.858835847
172991324,12/26/2017 12:00:00 AM,20:30:00,BRONX,44,0,,true,18-24,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,1007509,244581,40.837971242,-73.915944998
172950813,12/26/2017 12:00:00 AM,00:30:00,STATEN ISLAND,121,0,,false,25-44,M,BLACK,18-24,M,BLACK,936722,172119,40.638984176,-74.171252305
172950617,12/25/2017 12:00:00 AM,22:50:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD       ,false,18-24,M,BLACK,18-24,M,WHITE,996292,167685,40.626933124,-73.956620082
172950617,12/25/2017 12:00:00 AM,22:50:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD       ,false,18-24,M,BLACK,18-24,M,WHITE HISPANIC,996292,167685,40.626933124,-73.956620082
172950617,12/25/2017 12:00:00 AM,22:50:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD       ,false,,U,UNKNOWN,18-24,M,WHITE,996292,167685,40.626933124,-73.956620082
172950617,12/25/2017 12:00:00 AM,22:50:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD       ,false,,U,UNKNOWN,18-24,M,WHITE HISPANIC,996292,167685,40.626933124,-73.956620082
172950618,12/25/2017 12:00:00 AM,16:05:00,BROOKLYN,69,0,,false,,,,18-24,M,BLACK,1009426,173626,40.643212313,-73.909282646
172950814,12/25/2017 12:00:00 AM,15:15:00,STATEN ISLAND,120,0,,false,25-44,F,BLACK,18-24,M,BLACK,959642,172515,40.640164447,-74.088669465
172950814,12/25/2017 12:00:00 AM,15:15:00,STATEN ISLAND,120,0,,false,25-44,F,BLACK,25-44,F,BLACK,959642,172515,40.640164447,-74.088669465
172950815,12/25/2017 12:00:00 AM,08:35:00,BROOKLYN,69,0,,false,,,,25-44,M,ASIAN/PAC.ISL,1006730,170960,40.635901968,-73.919006246
172950816,12/25/2017 12:00:00 AM,04:30:00,BROOKLYN,66,0,,false,,,,25-44,M,WHITE HISPANIC,986764,167283,40.625837545,-73.990944894
172937545,12/24/2017 12:00:00 AM,06:30:00,BRONX,40,0,BAR/NIGHT CLUB                ,false,,,,25-44,M,WHITE HISPANIC,1006075,236932,40.816980584,-73.921152255
172937544,12/24/2017 12:00:00 AM,00:15:00,MANHATTAN,34,0,,false,,,,25-44,M,BLACK HISPANIC,1003327,249149,40.850519085,-73.931045463
172915171,12/23/2017 12:00:00 AM,14:15:00,BRONX,40,0,,false,,,,45-64,M,WHITE HISPANIC,1006156,235986,40.814383878,-73.920862706
172915169,12/23/2017 12:00:00 AM,05:00:00,QUEENS,115,0,,false,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1022797,215131,40.757085598,-73.860864318
172915170,12/23/2017 12:00:00 AM,01:52:00,BROOKLYN,60,0,BAR/NIGHT CLUB                ,false,,,,25-44,M,BLACK,988114,148773,40.575030854,-73.986092177
172892298,12/22/2017 12:00:00 AM,20:17:00,MANHATTAN,28,0,,false,25-44,F,BLACK,25-44,F,BLACK,997967,234809,40.811169851,-73.950449107
172892297,12/22/2017 12:00:00 AM,18:27:00,BROOKLYN,81,0,,false,,,,18-24,M,BLACK,1004122,186269,40.677928044,-73.928357728
172875912,12/22/2017 12:00:00 AM,03:29:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1007362,237628,40.818887634,-73.916500197
172875911,12/21/2017 12:00:00 AM,17:00:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS     ,false,,,,18-24,M,BLACK,998751,226901,40.7894633,-73.947634004
172849878,12/21/2017 12:00:00 AM,11:43:00,BROOKLYN,79,0,,true,,,,18-24,M,BLACK,999215,189479,40.686748418,-73.946041603
172846310,12/21/2017 12:00:00 AM,10:00:00,QUEENS,114,0,MULTI DWELL - APT BUILD       ,false,,,,45-64,M,BLACK,1008672,224183,40.781981271,-73.911816205
172837754,12/21/2017 12:00:00 AM,00:10:00,STATEN ISLAND,121,0,MULTI DWELL - APT BUILD       ,true,25-44,M,BLACK,25-44,F,WHITE,944193,168636,40.629461031,-74.144312493
172795957,12/20/2017 12:00:00 AM,00:04:00,BROOKLYN,90,0,,false,25-44,M,BLACK,18-24,M,WHITE HISPANIC,995958,198402,40.71124488,-73.957769974
172795957,12/20/2017 12:00:00 AM,00:04:00,BROOKLYN,90,0,,true,25-44,M,BLACK,18-24,M,WHITE HISPANIC,995958,198402,40.71124488,-73.957769974
172765613,12/19/2017 12:00:00 AM,12:48:00,BROOKLYN,88,0,GROCERY/BODEGA                ,false,25-44,M,BLACK,18-24,M,ASIAN/PAC.ISL,990616,189701,40.687368118,-73.977047116
172750203,12/19/2017 12:00:00 AM,03:51:00,MANHATTAN,18,0,,true,25-44,M,BLACK,25-44,M,BLACK,988696,216220,40.760157529,-73.983952679
172750205,12/19/2017 12:00:00 AM,03:20:00,QUEENS,102,0,,true,25-44,M,BLACK,18-24,M,BLACK,1033580,192103,40.693825868,-73.822111485
